Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	Slycopersicum<58>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	Mguttatus<60>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<59>	<29>	FRAX28<4>	FRAX06<22>	<5>
61	9	10	7	10	10	9	8	11	10	8	5	8	10	10	10	9	21	7	5	3	8	9	4	10	10	10	9	8	10	4	9	7	9	7	3	8	11	10	13	9	8	10	10	11	9	9	10	13	7	10	12	10	10	8	9	4	11	7	7	9
62	11	9	10	7	9	12	9	9	9	9	7	8	9	9	9	10	13	9	6	4	8	9	9	9	9	9	6	9	9	7	10	9	9	9	5	9	8	9	10	10	9	9	9	8	10	8	7	10	8	10	8	8	9	7	8	5	9	8	8	8
63	7	9	8	9	9	6	9	9	9	9	9	9	9	8	8	8	9	8	8	6	8	8	8	9	9	9	9	9	9	7	9	9	8	9	13	9	8	9	10	8	9	8	7	8	8	8	8	10	9	9	9	8	9	9	8	10	9	8	8	8
64	9	8	6	8	9	8	9	9	8	9	4	7	8	9	9	10	27	8	5	2	9	6	9	4	9	8	8	6	9	6	8	6	8	5	15	9	6	8	15	8	5	15	6	9	8	9	6	14	6	8	6	9	8	7	8	11	9	13	9	8
65	8	10	10	10	10	8	10	10	9	10	11	10	10	7	8	10	4	9	9	3	10	5	11	10	10	10	9	6	10	8	10	10	9	9	2	10	7	8	6	9	8	4	9	6	9	8	8	7	11	10	10	8	8	10	9	3	10	7	9	8
66	3	9	8	10	10	9	10	10	9	10	9	9	9	12	9	9	7	9	9	0	6	9	7	8	10	9	6	9	10	7	9	10	9	10	2	10	11	10	7	9	10	16	9	5	9	9	8	7	10	9	9	9	10	7	6	2	10	8	10	9
67	6	9	15	5	9	14	9	9	9	9	9	6	8	5	10	13	6	12	8	0	11	9	7	8	9	10	10	10	9	9	13	9	11	10	0	9	7	9	6	13	12	2	9	8	13	8	8	6	6	12	4	8	9	5	11	0	9	7	11	9
68	9	9	7	5	9	8	8	9	9	8	7	9	9	8	8	8	11	8	6	5	8	10	5	11	9	9	10	10	9	10	9	7	9	6	7	8	8	9	10	8	4	9	9	5	9	8	6	10	8	9	7	8	9	10	9	7	9	8	9	9
69	8	10	9	9	9	9	8	9	10	8	9	10	10	8	8	9	3	8	9	3	9	10	6	9	9	10	9	10	9	9	10	8	9	8	1	8	8	9	5	9	6	2	9	9	9	9	11	6	10	10	9	9	9	11	9	3	9	9	6	9
70	11	10	11	6	9	11	9	9	10	9	7	8	9	11	6	12	0	12	7	0	9	10	9	6	9	10	11	10	9	10	11	8	10	8	0	8	8	9	3	11	11	2	8	8	11	9	7	4	9	11	6	9	9	3	10	0	9	8	9	9
