Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	Mguttatus<58>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
19560	20	22	21	18	9	22	21	22	22	22	22	15	22	22	20	17	23	22	20	17	19	24	21	23	22	22	26	24	22	19	22	19	21	17	21	17	22	23	21	17	23	18	19	21	19	11	22	22	23	20	22	20	22	22	23	21	22	24	23	22
21394	20	20	21	22	5	22	21	20	23	19	20	18	17	20	20	25	24	34	24	14	24	21	19	16	22	21	26	19	22	19	22	19	23	18	20	19	21	26	23	19	20	20	15	23	19	12	20	22	26	14	22	19	20	21	17	24	23	18	14	20
16763	19	20	20	19	12	22	19	21	22	20	21	19	19	20	23	19	20	27	20	20	19	23	19	20	22	20	19	20	22	22	20	21	20	21	21	22	22	25	20	21	21	20	16	20	21	10	21	17	25	18	20	19	21	22	19	19	22	21	19	22
15461	26	19	25	17	5	23	24	23	22	19	23	21	16	19	25	21	18	15	17	18	23	19	21	15	23	20	14	14	23	23	21	22	19	21	23	26	24	18	20	21	25	16	20	20	11	4	25	24	18	16	20	19	25	24	13	19	22	25	20	25
29387	20	18	21	16	18	22	16	22	22	18	22	14	17	18	22	19	19	61	18	18	17	20	22	13	22	19	15	14	22	20	19	20	18	20	22	20	22	33	18	21	24	20	17	18	25	5	23	18	31	15	19	14	22	22	16	17	22	27	20	22
20629	15	19	20	23	5	23	18	22	23	17	22	15	18	19	21	20	24	51	20	11	18	22	26	15	23	20	24	16	23	18	20	18	19	16	20	30	23	30	19	17	20	15	11	19	19	9	20	19	29	18	20	17	20	23	16	19	23	18	19	20
38183	18	20	16	18	21	20	20	20	21	20	20	17	20	20	18	20	20	20	20	20	19	19	20	16	20	20	18	21	20	18	20	20	19	20	20	20	20	22	20	19	19	17	17	20	26	16	18	17	22	19	20	18	18	20	19	19	21	18	17	19
17937	15	20	20	18	16	21	17	21	21	20	21	18	20	20	18	18	19	24	22	16	15	21	16	20	21	20	21	22	21	15	20	20	18	19	21	18	20	24	19	20	24	15	18	19	26	18	19	17	24	19	20	20	18	20	21	18	21	21	23	19
25779	20	19	20	17	8	21	18	21	21	19	21	19	18	19	19	16	17	27	16	20	16	19	21	16	21	19	18	18	21	17	19	21	18	20	21	24	21	23	18	19	23	18	19	18	17	9	19	20	23	17	19	17	19	21	17	18	21	17	21	19
16612	19	20	16	21	9	21	19	21	21	20	21	17	20	20	18	19	20	20	20	19	19	17	20	20	21	20	19	22	21	19	19	20	19	20	21	16	19	22	19	20	22	19	17	19	18	10	19	20	22	20	20	20	19	19	20	19	21	16	20	19
