Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea	Mguttatus	Slycopersicum
JSG22666	22666	17	13	12	13	11	12	14	14	13	16	11	13	12	13	14	14	13	14	12	13	15	15	14	14	11	13	11	15	15	10	12
JSG36691	36691	13	11	10	11	14	15	18	13	15	13	15	11	13	11	14	12	14	13	12	14	14	14	14	12	18	11	17	10	27	3	1
JSG22290	22290	14	12	11	10	12	15	12	15	14	9	19	9	11	8	9	14	14	16	8	14	14	10	17	15	16	8	17	17	38	6	3
JSG32811	32811	16	15	12	16	12	16	16	11	16	17	13	12	11	13	13	16	13	12	13	13	11	13	13	12	14	16	14	14	14	9	9
JSG39843	39843	15	13	13	14	12	14	12	15	15	13	13	14	14	12	13	13	14	14	14	11	13	14	15	10	12	14	11	13	17	8	9
JSG13672	13672	14	13	12	12	10	14	14	15	13	14	14	12	13	15	11	13	14	13	12	12	15	12	14	15	14	14	18	13	13	8	5
JSG11236	11236	13	13	14	12	14	14	13	8	14	14	13	12	13	12	13	13	11	12	12	11	15	14	14	13	14	13	13	15	16	8	12
JSG29033	29033	13	10	16	14	13	12	14	13	14	12	10	14	15	12	10	12	13	10	14	11	13	13	14	13	14	13	13	13	16	9	10
JSG18886	18886	16	12	12	12	12	15	17	13	12	12	10	11	13	13	13	12	10	13	12	10	13	12	13	12	15	15	16	16	18	13	9
JSG04995	4995	3	13	17	12	14	15	15	16	16	12	12	15	15	15	13	12	13	12	13	11	15	11	14	15	15	13	12	11	24	0	0
JSG14438	14438	13	13	11	12	13	12	13	14	11	13	13	13	12	13	13	11	12	12	13	12	11	14	14	14	15	11	13	12	12	24	8
JSG09322	9322	8	11	14	14	13	10	15	14	15	9	15	11	14	11	10	12	10	11	8	15	13	14	12	15	16	13	12	13	33	6	11
JSG41523	41523	14	11	14	14	13	15	14	11	14	15	13	12	11	12	10	14	12	11	15	12	14	15	13	11	14	13	13	13	17	10	8
JSG13876	13876	15	13	14	12	12	14	13	11	14	15	12	15	11	11	11	14	11	14	14	12	15	12	11	12	15	14	14	11	21	6	9
JSG22184	22184	10	10	11	11	14	11	13	14	13	13	15	11	13	8	8	15	11	9	9	10	14	12	14	15	15	12	13	13	18	21	18
JSG42669	42669	15	12	14	11	14	14	12	9	16	15	13	12	14	12	10	16	13	13	10	12	16	15	13	12	11	15	11	15	17	10	7
JSG28049	28049	16	16	14	12	13	12	15	14	12	11	15	15	13	16	15	11	11	12	12	12	12	12	14	15	12	12	11	13	11	6	7
JSG00787	787	13	11	10	13	12	12	13	10	11	12	15	12	10	11	10	13	13	14	12	14	17	13	16	13	14	12	14	10	13	15	13
JSG42702	42702	13	11	11	12	15	13	12	13	15	15	14	11	11	11	14	14	11	13	12	12	13	15	14	13	15	12	13	13	22	6	3
JSG04638	4638	15	12	13	16	14	15	12	10	14	15	13	11	10	10	14	16	14	14	12	11	14	15	12	13	11	11	12	15	18	5	5
JSG03437	3437	13	14	13	10	12	13	14	11	13	13	13	12	11	12	11	13	13	14	13	13	12	13	14	13	13	13	13	14	16	9	10
JSG26111	26111	14	18	13	11	13	20	12	14	14	12	13	11	14	13	9	10	9	15	14	9	12	10	16	12	12	11	17	10	18	10	9
JSG37653	37653	14	11	11	10	19	12	13	13	13	11	16	15	12	12	12	10	10	9	8	10	15	13	14	16	19	10	13	15	12	10	5
JSG24213	24213	15	13	13	12	16	14	11	12	13	14	15	13	13	15	11	13	12	14	15	13	14	15	12	13	12	9	11	14	17	2	1
JSG02643	2643	7	16	14	12	16	13	13	16	8	16	17	12	12	15	15	11	12	11	12	12	12	15	12	18	17	9	16	10	9	2	2
JSG42547	42547	13	15	10	9	11	20	13	11	10	10	12	10	11	14	16	18	13	11	14	12	10	12	12	15	19	12	15	11	12	10	7
JSG43460	43460	13	13	11	12	13	14	13	12	12	15	10	13	12	11	12	13	11	14	12	13	12	13	13	13	14	13	13	13	19	8	7
JSG07201	7201	15	14	12	12	14	15	16	12	15	14	14	12	11	13	11	12	10	12	11	11	15	13	14	13	12	13	13	13	14	3	10
JSG20612	20612	14	12	12	14	14	14	13	10	13	14	12	12	13	14	11	14	13	14	13	12	12	14	11	11	12	13	12	14	13	10	7
JSG07604	7604	13	11	12	13	13	12	12	13	14	15	13	13	13	13	12	14	13	13	12	11	14	10	14	13	11	13	14	13	16	7	4
JSG33889	33889	12	12	14	12	11	13	14	12	14	13	13	14	14	11	11	12	10	10	11	13	13	12	14	13	14	10	14	10	17	9	13
JSG38628	38628	9	10	16	11	14	10	12	14	11	12	14	14	12	10	10	12	11	13	12	14	14	12	11	16	13	12	13	11	21	6	11
JSG10953	10953	10	11	13	12	15	13	12	14	12	15	15	12	11	11	12	13	13	11	13	12	13	13	16	13	13	11	14	12	9	10	7
JSG28973	28973	14	10	11	15	11	10	13	14	12	16	12	13	13	13	11	12	12	11	13	14	13	15	15	11	13	13	13	11	15	7	12
JSG11553	11553	17	12	10	10	11	13	16	11	14	15	14	9	9	11	8	13	12	10	13	13	12	13	17	15	15	13	13	10	18	8	9
JSG10981	10981	14	13	11	13	13	15	14	12	15	17	11	15	11	12	10	13	13	10	11	10	13	15	11	15	13	13	9	11	12	7	8
JSG32109	32109	14	12	12	12	12	15	14	13	14	13	11	11	11	11	13	13	11	11	12	12	14	14	13	13	12	11	13	14	12	7	7
JSG14750	14750	14	12	12	13	15	13	14	10	15	14	10	13	12	13	11	11	10	12	11	11	11	13	15	14	13	13	12	12	18	6	4
