Desc	Family ID	FRAX00	FRAX01	FRAX02	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	FRAX34	Mguttatus	Oeuropea	Slycopersicum
OG0000127	127	8	7	9	7	7	7	6	7	6	7	8	6	7	5	7	5	7	7	5	6	5	8	7	6	4	7	7	6	6	6	4	6	5
OG0000128	128	5	7	7	8	6	7	6	8	7	7	7	7	6	7	7	4	7	7	8	5	5	7	6	7	7	7	7	7	7	7	3	5	3
OG0000129	129	8	8	5	7	7	7	8	7	7	7	7	7	7	6	6	7	7	7	7	6	6	7	6	8	6	6	7	6	4	5	3	6	2
OG0000130	130	1	10	9	7	3	7	6	7	7	9	4	6	8	8	9	5	10	9	8	8	8	9	4	9	4	5	6	5	8	5	0	6	0
OG0000131	131	8	8	8	5	6	5	11	8	9	5	6	7	5	6	5	6	5	5	6	9	6	6	6	8	7	6	6	8	6	6	2	8	2
OG0000132	132	6	7	6	7	7	5	6	6	7	7	7	7	6	6	6	6	7	4	6	6	6	7	6	7	6	7	7	7	8	8	4	7	5
OG0000133	133	8	7	4	7	7	6	8	6	6	6	6	5	8	7	6	6	6	7	6	6	6	8	5	8	6	6	7	7	5	5	3	7	5
OG0000134	134	6	6	8	5	6	7	6	7	6	7	7	6	6	7	5	5	6	6	7	6	7	6	7	6	7	7	7	7	7	6	3	6	4
OG0000135	135	4	4	11	7	5	5	5	6	8	5	4	9	6	6	3	6	6	6	8	5	5	7	4	8	10	7	4	7	6	5	18	4	1
OG0000136	136	6	5	5	6	7	6	9	9	4	8	8	5	7	6	4	6	5	6	6	5	7	7	7	6	8	8	7	6	7	4	6	6	3
OG0000137	137	6	7	8	7	6	7	7	7	6	6	6	8	6	7	6	7	5	6	4	7	7	7	7	6	7	5	7	7	7	6	3	4	2
OG0000138	138	6	7	3	8	6	7	9	7	4	8	7	4	8	6	5	2	6	5	6	5	3	8	7	8	5	5	8	8	8	8	3	10	4
OG0000139	139	3	8	8	8	3	9	2	3	6	4	3	9	7	8	6	7	5	7	5	9	8	8	5	8	5	9	7	7	7	8	1	9	2
OG0000140	140	7	7	4	6	6	6	7	6	6	7	7	6	8	7	7	6	7	7	6	7	3	6	7	7	6	7	6	7	7	6	1	8	2
OG0000141	141	9	8	10	8	4	7	3	8	7	4	4	11	5	4	5	3	3	6	7	4	4	10	5	14	11	6	4	8	4	2	1	12	2
OG0000142	142	7	7	1	8	4	6	8	10	8	8	10	7	6	6	4	6	5	6	6	5	3	8	9	6	5	6	6	8	8	5	3	7	1
OG0000143	143	7	7	6	5	6	7	7	7	6	7	7	5	5	5	7	6	7	6	8	6	5	5	6	6	7	7	6	7	7	7	2	6	4
OG0000144	144	8	10	8	6	5	6	10	5	4	8	5	5	8	5	7	9	5	4	9	6	6	6	5	6	5	6	5	6	4	4	4	8	4
OG0000145	145	6	5	6	8	8	7	6	7	4	6	7	5	6	7	5	4	8	4	6	6	6	8	8	7	5	5	8	6	8	7	2	9	2
OG0000146	146	1	7	9	9	6	7	9	9	6	9	8	8	9	8	7	8	3	3	6	7	5	7	6	8	8	10	0	10	6	2	0	0	0
OG0000147	147	7	6	4	7	4	6	6	8	6	7	7	4	7	4	6	3	7	7	8	3	5	4	7	7	7	6	7	6	7	6	4	13	4
OG0000148	148	6	5	6	8	5	6	5	5	6	5	4	5	6	9	5	6	8	7	4	6	6	6	6	6	4	7	3	5	5	5	19	8	3
OG0000149	149	7	7	6	6	7	7	7	6	6	7	7	5	6	6	6	6	7	4	5	6	7	7	5	7	7	6	4	7	5	7	3	8	3
OG0000150	150	9	5	2	3	8	7	6	9	4	8	6	6	7	6	5	6	6	6	6	6	5	8	8	6	5	8	8	4	6	5	6	6	3
OG0000151	151	12	6	9	3	6	5	6	6	6	6	7	5	4	6	4	4	7	6	7	9	7	6	8	7	8	11	4	8	8	6	1	1	0
OG0000152	152	4	7	4	6	8	5	6	9	6	14	11	5	7	3	7	4	11	4	11	6	8	8	9	7	4	5	2	11	5	2	0	0	0
OG0000153	153	2	5	8	10	10	7	5	8	5	9	8	6	7	7	7	8	7	7	5	6	4	8	6	3	8	7	2	7	8	5	0	3	1
OG0000154	154	6	7	4	6	3	3	5	6	8	8	3	9	5	4	5	4	7	4	6	4	5	7	3	9	8	9	5	10	5	5	6	9	11
OG0000155	155	5	10	13	4	6	6	3	7	6	6	6	7	6	5	5	7	5	7	4	8	9	6	5	8	10	10	1	6	9	5	1	2	1
OG0000156	156	7	5	2	6	6	7	7	5	7	7	7	7	7	7	7	6	7	6	6	7	7	7	5	6	3	7	7	6	7	5	2	6	4
OG0000157	157	5	5	6	6	7	8	5	6	5	7	7	4	8	6	6	6	6	7	6	5	6	8	7	6	7	7	7	7	6	8	1	5	2
OG0000158	158	5	7	7	7	5	7	6	6	7	8	5	3	6	7	7	5	7	6	6	6	5	7	6	6	8	6	7	6	5	7	3	4	4
OG0000159	159	7	6	3	7	8	6	7	4	5	6	8	6	5	4	5	6	5	4	6	5	7	7	8	7	6	5	6	6	8	4	6	10	4
OG0000160	160	5	7	7	6	5	8	6	6	5	7	6	6	5	6	7	6	4	6	5	6	5	6	6	8	6	5	5	5	4	3	17	5	3
OG0000161	161	5	5	6	7	7	6	6	6	6	7	6	5	7	7	5	4	7	5	5	6	4	7	6	6	6	7	7	6	6	6	4	6	6
OG0000162	162	7	3	9	5	6	6	5	5	6	6	7	7	6	6	5	5	9	7	7	6	6	6	5	7	6	7	7	7	7	6	1	6	1
OG0000163	163	1	1	4	7	5	9	9	8	4	9	9	6	8	5	3	6	7	4	8	8	9	7	8	7	8	7	9	5	8	6	0	0	0
OG0000164	164	7	6	4	5	6	6	6	7	5	7	7	6	5	6	4	4	8	5	7	3	4	7	7	6	4	8	5	7	7	7	4	11	3
OG0000165	165	4	5	10	8	4	7	4	6	7	6	6	8	6	7	3	5	6	7	6	5	5	7	5	5	8	6	4	6	8	9	6	3	2
OG0000166	166	4	10	10	6	4	7	7	6	5	4	7	8	7	5	9	6	4	4	6	7	4	6	7	5	8	7	4	7	4	7	1	6	1
OG0000167	167	6	6	5	6	6	7	7	7	4	7	7	5	7	7	5	7	6	5	5	6	5	6	7	6	5	7	6	4	7	5	3	7	4
OG0000168	168	7	7	8	6	6	6	7	5	6	6	6	5	6	6	7	6	6	6	5	7	5	6	6	6	6	5	6	5	6	6	2	8	2
OG0000169	169	2	8	7	8	7	3	10	8	6	8	6	10	8	7	7	8	9	8	4	6	6	5	8	6	7	6	2	6	4	3	0	0	0
OG0000170	170	7	7	5	4	5	7	6	6	6	6	7	6	5	4	6	5	7	5	6	6	6	5	7	6	7	7	6	7	5	7	4	6	3
OG0000171	171	6	6	14	7	3	5	5	5	6	5	4	5	5	5	5	2	4	5	1	4	5	7	7	7	10	7	4	10	8	6	0	12	7
OG0000172	172	6	5	9	5	5	6	6	7	5	7	5	7	5	9	4	5	5	6	7	6	4	5	5	5	6	5	6	5	6	6	5	8	6
OG0000173	173	9	5	3	7	6	7	6	6	5	7	5	4	7	5	6	5	8	7	6	4	5	9	6	6	5	4	2	5	8	6	3	12	3
OG0000174	174	6	3	3	3	4	5	4	6	7	6	9	9	3	2	5	4	7	5	5	7	4	5	5	8	8	8	7	5	7	4	2	21	5
OG0000175	175	10	5	4	5	4	6	6	4	7	4	5	5	8	4	6	6	5	4	5	8	3	6	4	6	4	5	4	5	4	5	10	11	13
OG0000176	176	1	5	3	9	6	9	7	8	5	11	7	3	5	5	3	8	7	6	13	11	8	5	4	8	8	8	0	8	7	3	0	0	0
